0	00
1	01
2	02
3	03
4	04
5	05
6	06
7	07
8	08
9	09
10	0A
11	0B
12	0C
13	0D
14	0E
15	0F
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1A
27	1B
28	1C
29	1D
30	1E
31	1F
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2A
43	2B
44	2C
45	2D
46	2E
47	2F
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3A
59	3B
60	3C
61	3D
62	3E
63	3F
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4A
75	4B
76	4C
77	4D
78	4E
79	4F
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5A
91	5B
92	5C
93	5D
94	5E
95	5F
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6A
107	6B
108	6C
109	6D
110	6E
111	6F
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7A
123	7B
124	7C
125	7D
126	7E
127	7F
128	E282AC
129	3F
130	E2809A
131	3F
132	E2809E
133	E280A6
134	E280A0
135	E280A1
136	3F
137	E280B0
138	3F
139	E280B9
140	3F
141	3F
142	3F
143	3F
144	3F
145	E28098
146	E28099
147	E2809C
148	E2809D
149	E280A2
150	E28093
151	E28094
152	3F
153	3F
154	3F
155	E280BA
156	3F
157	3F
158	3F
159	3F
160	C2A0
161	C2A1
162	C2A2
163	C2A3
164	C2A4
165	C2A5
166	C2A6
167	C2A7
168	C2A8
169	C2A9
170	C2AA
171	C2AB
172	C2AC
173	C2AD
174	C2AE
175	C2AF
176	C2B0
177	C2B1
178	C2B2
179	C2B3
180	C2B4
181	C2B5
182	C2B6
183	C2B7
184	C2B8
185	C2B9
186	C2BA
187	C2BB
188	C2BC
189	C2BD
190	C2BE
191	C2BF
192	E18390
193	E18391
194	E18392
195	E18393
196	E18394
197	E18395
198	E18396
199	E183B1
200	E18397
201	E18398
202	E18399
203	E1839A
204	E1839B
205	E1839C
206	E183B2
207	E1839D
208	E1839E
209	E1839F
210	E183A0
211	E183A1
212	E183A2
213	E183B3
214	E183A3
215	E183A4
216	E183A5
217	E183A6
218	E183A7
219	E183A8
220	E183A9
221	E183AA
222	E183AB
223	E183AC
224	E183AD
225	E183AE
226	E183B4
227	E183AF
228	E183B0
229	E183B5
230	3F
231	3F
232	3F
233	3F
234	3F
235	3F
236	3F
237	3F
238	3F
239	3F
240	3F
241	3F
242	3F
243	3F
244	3F
245	3F
246	3F
247	3F
248	3F
249	3F
250	3F
251	3F
252	3F
253	E28496
254	3F
255	3F
