0	00
1	01
2	02
3	03
4	04
5	05
6	06
7	07
8	08
9	09
10	0A
11	0B
12	0C
13	0D
14	0E
15	0F
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1A
27	1B
28	1C
29	1D
30	1E
31	1F
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2A
43	2B
44	2C
45	2D
46	2E
47	2F
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3A
59	3B
60	3C
61	3D
62	3E
63	3F
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4A
75	4B
76	4C
77	4D
78	4E
79	4F
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5A
91	5B
92	5C
93	5D
94	5E
95	5F
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6A
107	6B
108	6C
109	6D
110	6E
111	6F
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7A
123	7B
124	7C
125	7D
126	7E
127	7F
128	C48C
129	C3BC
130	C3A9
131	C48F
132	C3A4
133	C48E
134	C5A4
135	C48D
136	C49B
137	C49A
138	C4B9
139	C38D
140	C4BE
141	C4BA
142	C384
143	C381
144	C389
145	C5BE
146	C5BD
147	C3B4
148	C3B6
149	C393
150	C5AF
151	C39A
152	C3BD
153	C396
154	C39C
155	C5A0
156	C4BD
157	C39D
158	C598
159	C5A5
160	C3A1
161	C3AD
162	C3B3
163	C3BA
164	C588
165	C587
166	C5AE
167	C394
168	C5A1
169	C599
170	C595
171	C594
172	C2BC
173	C2A1
174	C2AB
175	C2BB
176	E29691
177	E29692
178	E29693
179	E29482
180	E294A4
181	E295A1
182	E295A2
183	E29596
184	E29595
185	E295A3
186	E29591
187	E29597
188	E2959D
189	E2959C
190	E2959B
191	E29490
192	E29494
193	E294B4
194	E294AC
195	E2949C
196	E29480
197	E294BC
198	E2959E
199	E2959F
200	E2959A
201	E29594
202	E295A9
203	E295A6
204	E295A0
205	E29590
206	E295AC
207	E295A7
208	E295A8
209	E295A4
210	E295A5
211	E29599
212	E29598
213	E29592
214	E29593
215	E295AB
216	E295AA
217	E29498
218	E2948C
219	E29688
220	E29684
221	E2968C
222	E29690
223	E29680
224	CEB1
225	C39F
226	CE93
227	CF80
228	CEA3
229	CF83
230	C2B5
231	CF84
232	CEA6
233	CE98
234	CEA9
235	CEB4
236	E2889E
237	CF86
238	CEB5
239	E288A9
240	E289A1
241	C2B1
242	E289A5
243	E289A4
244	E28CA0
245	E28CA1
246	C3B7
247	E28988
248	C2B0
249	E28899
250	C2B7
251	E2889A
252	E281BF
253	C2B2
254	E296A0
255	C2A0
