0	00
1	01
2	02
3	03
4	04
5	05
6	06
7	07
8	08
9	09
10	0A
11	0B
12	0C
13	0D
14	0E
15	0F
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1A
27	1B
28	1C
29	1D
30	1E
31	1F
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2A
43	2B
44	2C
45	2D
46	2E
47	2F
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3A
59	3B
60	3C
61	3D
62	3E
63	3F
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4A
75	4B
76	4C
77	4D
78	4E
79	4F
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5A
91	5B
92	5C
93	5D
94	5E
95	5F
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6A
107	6B
108	6C
109	6D
110	6E
111	6F
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7A
123	7B
124	7C
125	7D
126	7E
127	7F
128	C280
129	C281
130	C282
131	C283
132	C284
133	C285
134	C286
135	C287
136	C288
137	C289
138	C28A
139	C28B
140	C28C
141	C28D
142	C28E
143	C28F
144	C290
145	C291
146	C292
147	C293
148	C294
149	C295
150	C296
151	C297
152	C298
153	C299
154	C29A
155	C29B
156	C29C
157	C29D
158	C29E
159	C29F
160	C2A0
161	C2A1
162	C2A2
163	C2A3
164	3F
165	C2A5
166	3F
167	C2A7
168	C2A4
169	C2A9
170	C2AA
171	C2AB
172	3F
173	3F
174	3F
175	3F
176	C2B0
177	C2B1
178	C2B2
179	C2B3
180	3F
181	C2B5
182	C2B6
183	C2B7
184	3F
185	C2B9
186	C2BA
187	C2BB
188	C2BC
189	C2BD
190	3F
191	C2BF
192	C380
193	C381
194	C382
195	C383
196	C384
197	C385
198	C386
199	C387
200	C388
201	C389
202	C38A
203	C38B
204	C38C
205	C38D
206	C38E
207	C38F
208	3F
209	C391
210	C392
211	C393
212	C394
213	C395
214	C396
215	C592
216	C398
217	C399
218	C39A
219	C39B
220	C39C
221	C5B8
222	3F
223	C39F
224	C3A0
225	C3A1
226	C3A2
227	C3A3
228	C3A4
229	C3A5
230	C3A6
231	C3A7
232	C3A8
233	C3A9
234	C3AA
235	C3AB
236	C3AC
237	C3AD
238	C3AE
239	C3AF
240	3F
241	C3B1
242	C3B2
243	C3B3
244	C3B4
245	C3B5
246	C3B6
247	C593
248	C3B8
249	C3B9
250	C3BA
251	C3BB
252	C3BC
253	C3BF
254	3F
255	3F
