0	00
1	01
2	02
3	03
4	04
5	05
6	06
7	07
8	08
9	09
10	0A
11	0B
12	0C
13	0D
14	0E
15	0F
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1A
27	1B
28	1C
29	1D
30	1E
31	1F
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2A
43	2B
44	2C
45	2D
46	2E
47	2F
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3A
59	3B
60	3C
61	3D
62	3E
63	3F
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4A
75	4B
76	4C
77	4D
78	4E
79	4F
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5A
91	5B
92	5C
93	5D
94	5E
95	5F
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6A
107	6B
108	6C
109	6D
110	6E
111	6F
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7A
123	7B
124	7C
125	7D
126	7E
127	7F
128	C384
129	C480
130	C481
131	C389
132	C484
133	C396
134	C39C
135	C3A1
136	C485
137	C48C
138	C3A4
139	C48D
140	C486
141	C487
142	C3A9
143	C5B9
144	C5BA
145	C48E
146	C3AD
147	C48F
148	C492
149	C493
150	C496
151	C3B3
152	C497
153	C3B4
154	C3B6
155	C3B5
156	C3BA
157	C49A
158	C49B
159	C3BC
160	E280A0
161	C2B0
162	C498
163	C2A3
164	C2A7
165	E280A2
166	C2B6
167	C39F
168	C2AE
169	C2A9
170	E284A2
171	C499
172	C2A8
173	E289A0
174	C4A3
175	C4AE
176	C4AF
177	C4AA
178	E289A4
179	E289A5
180	C4AB
181	C4B6
182	E28882
183	E28891
184	C582
185	C4BB
186	C4BC
187	C4BD
188	C4BE
189	C4B9
190	C4BA
191	C585
192	C586
193	C583
194	C2AC
195	E2889A
196	C584
197	C587
198	E28886
199	C2AB
200	C2BB
201	E280A6
202	C2A0
203	C588
204	C590
205	C395
206	C591
207	C58C
208	E28093
209	E28094
210	E2809C
211	E2809D
212	E28098
213	E28099
214	C3B7
215	E2978A
216	C58D
217	C594
218	C595
219	C598
220	E280B9
221	E280BA
222	C599
223	C596
224	C597
225	C5A0
226	E2809A
227	E2809E
228	C5A1
229	C59A
230	C59B
231	C381
232	C5A4
233	C5A5
234	C38D
235	C5BD
236	C5BE
237	C5AA
238	C393
239	C394
240	C5AB
241	C5AE
242	C39A
243	C5AF
244	C5B0
245	C5B1
246	C5B2
247	C5B3
248	C39D
249	C3BD
250	C4B7
251	C5BB
252	C581
253	C5BC
254	C4A2
255	CB87
