0	00
1	01
2	02
3	03
4	04
5	05
6	06
7	07
8	08
9	09
10	0A
11	0B
12	0C
13	0D
14	0E
15	0F
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1A
27	1B
28	1C
29	1D
30	1E
31	1F
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2A
43	2B
44	2C
45	2D
46	2E
47	2F
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3A
59	3B
60	3C
61	3D
62	3E
63	3F
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4A
75	4B
76	4C
77	4D
78	4E
79	4F
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5A
91	5B
92	5C
93	5D
94	5E
95	5F
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6A
107	6B
108	6C
109	6D
110	6E
111	6F
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7A
123	7B
124	7C
125	7D
126	7E
127	7F
128	C280
129	C281
130	C282
131	C283
132	C284
133	C285
134	C286
135	C287
136	C288
137	C289
138	C28A
139	C28B
140	C28C
141	C28D
142	C28E
143	C28F
144	C290
145	C291
146	C292
147	C293
148	C294
149	C295
150	C296
151	C297
152	C298
153	C299
154	C29A
155	C29B
156	C29C
157	C29D
158	C29E
159	C29F
160	C2A0
161	C380
162	C382
163	C388
164	C38A
165	C38B
166	C38E
167	C38F
168	C2B4
169	CB8B
170	CB86
171	C2A8
172	CB9C
173	C399
174	C39B
175	E282A4
176	C2AF
177	C39D
178	C3BD
179	C2B0
180	C387
181	C3A7
182	C391
183	C3B1
184	C2A1
185	C2BF
186	C2A4
187	C2A3
188	C2A5
189	C2A7
190	C692
191	C2A2
192	C3A2
193	C3AA
194	C3B4
195	C3BB
196	C3A1
197	C3A9
198	C3B3
199	C3BA
200	C3A0
201	C3A8
202	C3B2
203	C3B9
204	C3A4
205	C3AB
206	C3B6
207	C3BC
208	C385
209	C3AE
210	C398
211	C386
212	C3A5
213	C3AD
214	C3B8
215	C3A6
216	C384
217	C3AC
218	C396
219	C39C
220	C389
221	C3AF
222	C39F
223	C394
224	C381
225	C383
226	C3A3
227	C390
228	C3B0
229	C38D
230	C38C
231	C393
232	C392
233	C395
234	C3B5
235	C5A0
236	C5A1
237	C39A
238	C5B8
239	C3BF
240	C39E
241	C3BE
242	C2B7
243	C2B5
244	C2B6
245	C2BE
246	E28094
247	C2BC
248	C2BD
249	C2AA
250	C2BA
251	C2AB
252	E296A0
253	C2BB
254	C2B1
255	3F
